categoria,trecho,q_inicio,q_fim,q_inicio_analise,fps,id_j,@f,@Vd,@Van,sexo,dosagem,unidade,id_video
Climbing,44,2207,2326,108,30.0,5f8f550bd3d64947e0da235b,2309,32.26470855048891,8.4174,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Climbing,46,2368,2711,108,30.0,5f8f550bd3d64947e0da235b,2613,-7.842439280553294,-2.04598,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Climbing,46,2368,2711,108,30.0,5f8f550bd3d64947e0da235b,2662,58.112813148032906,15.1608,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Climbing,50,3080,3133,108,30.0,5f8f550bd3d64947e0da235b,3123,-9.356320840419238,-2.44093,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Headshaking,136,4814,4816,108,30.0,5f8f550bd3d64947e0da235b,4815,4.483036630350204,1.16956,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Headshaking,175,5498,5500,108,30.0,5f8f550bd3d64947e0da235b,5498,-4.725135020832881,-1.23272,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Headshaking,181,5581,5586,108,30.0,5f8f550bd3d64947e0da235b,5581,1.1183289742505338,0.291756,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Headshaking,222,6571,6572,108,30.0,5f8f550bd3d64947e0da235b,6571,0.39326805995474384,0.10259800000000001,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Headshaking,236,6827,6829,108,30.0,5f8f550bd3d64947e0da235b,6827,12.572097355546553,3.2798800000000004,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Diving,41,1995,2077,108,30.0,5f8f550bd3d64947e0da235b,2066,16.127371249474546,4.2074,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Diving,41,1995,2077,108,30.0,5f8f550bd3d64947e0da235b,2072,-28.335592730915327,-7.39235,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Diving,195,5802,5817,108,30.0,5f8f550bd3d64947e0da235b,5805,-26.852299283083138,-7.005380000000001,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Diving,195,5802,5817,108,30.0,5f8f550bd3d64947e0da235b,5808,59.68859922034812,15.5719,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Diving,195,5802,5817,108,30.0,5f8f550bd3d64947e0da235b,5813,0.7666193492168344,0.2,macho,flx2.5mg,A5,5f8f550bd3d64947e0da235d
Immobility,6,330,365,120,30.0,5f8f550ad3d64947e0da234b,332,17.1982929241194,4.04063,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Immobility,37,2037,2188,120,30.0,5f8f550ad3d64947e0da234b,2186,-0.4947952062267409,-0.116249,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Immobility,54,3342,3593,120,30.0,5f8f550ad3d64947e0da234b,3451,-0.04534874317389558,-0.0106544,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Immobility,70,4434,4483,120,30.0,5f8f550ad3d64947e0da234b,4439,-6.791500373848482,-1.59562,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Immobility,130,7029,7058,120,30.0,5f8f550ad3d64947e0da234b,7037,-4.256339462935086,-1.0,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Swimming,38,2188,2203,120,30.0,5f8f550ad3d64947e0da234b,2194,-6.488278750508987,-1.5243799999999998,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Swimming,69,4426,4434,120,30.0,5f8f550ad3d64947e0da234b,4428,0.3277853840140402,0.07701110000000001,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Swimming,69,4426,4434,120,30.0,5f8f550ad3d64947e0da234b,4432,2.3155423073048715,0.544022,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Swimming,93,5607,5613,120,30.0,5f8f550ad3d64947e0da234b,5612,5.691492003047539,1.33718,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Swimming,129,7024,7029,120,30.0,5f8f550ad3d64947e0da234b,7024,7.523973832024982,1.76771,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Climbing,24,1295,1341,120,30.0,5f8f550ad3d64947e0da234b,1329,-25.534248635488506,-5.99911,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Climbing,24,1295,1341,120,30.0,5f8f550ad3d64947e0da234b,1335,-5.654419286325375,-1.32847,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Climbing,44,2315,2369,120,30.0,5f8f550ad3d64947e0da234b,2325,31.6017031032971,7.42462,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Climbing,47,2818,2857,120,30.0,5f8f550ad3d64947e0da234b,2831,-12.745395704785972,-2.99445,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Climbing,51,2990,3053,120,30.0,5f8f550ad3d64947e0da234b,3004,0.6989207341901817,0.164207,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Headshaking,125,6923,6925,120,30.0,5f8f550ad3d64947e0da234b,6924,9.210718597791528,2.164,macho,flx2.5mg,A3,5f8f550ad3d64947e0da234d
Immobility,116,5284,5320,105,30.0,5f8f550cd3d64947e0da2363,5287,5.718907863789754,1.3981299999999999,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Immobility,118,5322,5339,105,30.0,5f8f550cd3d64947e0da2363,5330,65.18907863789754,15.9371,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Immobility,124,5435,5482,105,30.0,5f8f550cd3d64947e0da2363,5449,-0.06046426014929952,-0.014782,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Immobility,144,5886,5950,105,30.0,5f8f550cd3d64947e0da2363,5893,5.784722364249923,1.41422,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Immobility,195,7311,7349,105,30.0,5f8f550cd3d64947e0da2363,7330,1.1237181715921871,0.274721,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Swimming,1,142,163,105,30.0,5f8f550cd3d64947e0da2363,142,-14.263912465487268,-3.48717,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Swimming,1,142,163,105,30.0,5f8f550cd3d64947e0da2363,150,14.258267716535435,3.48579,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Swimming,7,304,337,105,30.0,5f8f550cd3d64947e0da2363,319,20.448880253604663,4.99924,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Swimming,155,6258,6272,105,30.0,5f8f550cd3d64947e0da2363,6262,-2.851187237958892,-0.697044,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Swimming,170,6604,6619,105,30.0,5f8f550cd3d64947e0da2363,6605,9.950056242969627,2.43254,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Climbing,30,1021,1096,105,30.0,5f8f550cd3d64947e0da2363,1076,-30.88606196952653,-7.55087,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Climbing,38,1416,1546,105,30.0,5f8f550cd3d64947e0da2363,1463,20.11903057572349,4.9186,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Climbing,42,1588,1752,105,30.0,5f8f550cd3d64947e0da2363,1653,-54.32457306473055,-13.280999999999999,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Climbing,65,2477,2494,105,30.0,5f8f550cd3d64947e0da2363,2491,8.74146640760814,2.13707,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Climbing,92,4644,4655,105,30.0,5f8f550cd3d64947e0da2363,4654,3.668321914306166,0.896813,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Headshaking,113,5199,5201,105,30.0,5f8f550cd3d64947e0da2363,5200,-2.0294140505164124,-0.496141,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Headshaking,119,5339,5342,105,30.0,5f8f550cd3d64947e0da2363,5341,-5.11761938848553,-1.2511299999999999,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Headshaking,121,5368,5371,105,30.0,5f8f550cd3d64947e0da2363,5370,2.6918376112076903,0.658087,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Headshaking,125,5482,5484,105,30.0,5f8f550cd3d64947e0da2363,5482,21.73072911340628,5.31262,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Headshaking,131,5538,5540,105,30.0,5f8f550cd3d64947e0da2363,5539,9.697555987319767,2.3708099999999996,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Diving,37,1355,1416,105,30.0,5f8f550cd3d64947e0da2363,1389,-13.766806421924533,-3.36564,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Diving,37,1355,1416,105,30.0,5f8f550cd3d64947e0da2363,1403,4.090397791185192,1.0,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Diving,47,1866,1923,105,30.0,5f8f550cd3d64947e0da2363,1896,9.526495551692404,2.32899,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Diving,47,1866,1923,105,30.0,5f8f550cd3d64947e0da2363,1903,-12.81787503834748,-3.13365,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Diving,47,1866,1923,105,30.0,5f8f550cd3d64947e0da2363,1904,-19.500848757541675,-4.767469999999999,macho,flx2.5mg,A6,5f8f550cd3d64947e0da2365
Immobility,42,3149,3202,109,30.0,5f8f5507d3d64947e0da2323,3196,-3.663156693825608,-0.89904,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Immobility,46,3349,3379,109,30.0,5f8f5507d3d64947e0da2323,3369,3.1162908827176508,0.764824,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Immobility,107,6898,6924,109,30.0,5f8f5507d3d64947e0da2323,6907,-9.18254258213214,-2.25365,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Immobility,121,7932,7948,109,30.0,5f8f5507d3d64947e0da2323,7942,26.019478923185787,6.3859,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Immobility,127,8078,8106,109,30.0,5f8f5507d3d64947e0da2323,8093,-3.804416236691599,-0.933709,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Swimming,73,4475,4498,109,30.0,5f8f5507d3d64947e0da2323,4486,2.3008163980426004,0.564684,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Swimming,92,5471,5481,109,30.0,5f8f5507d3d64947e0da2323,5478,-52.26998314506786,-12.8285,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Swimming,122,7948,7963,109,30.0,5f8f5507d3d64947e0da2323,7948,13.648502002626708,3.3497199999999996,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Swimming,122,7948,7963,109,30.0,5f8f5507d3d64947e0da2323,7954,-3.1086104120290704e-05,-7.6293899999999995e-06,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Swimming,126,8062,8078,109,30.0,5f8f5507d3d64947e0da2323,8070,-12.515092702126765,-3.07155,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Climbing,5,452,687,109,30.0,5f8f5507d3d64947e0da2323,654,-9.27413779755882,-2.2761299999999998,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Climbing,21,1929,2219,109,30.0,5f8f5507d3d64947e0da2323,2006,31.906019832048273,7.83062,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Climbing,21,1929,2219,109,30.0,5f8f5507d3d64947e0da2323,2021,55.51167146328246,13.6241,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Climbing,21,1929,2219,109,30.0,5f8f5507d3d64947e0da2323,2121,11.024551700908482,2.70573,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Climbing,96,5636,5758,109,30.0,5f8f5507d3d64947e0da2323,5703,-174.43224955621685,-42.8105,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Headshaking,47,3379,3382,109,30.0,5f8f5507d3d64947e0da2323,3381,1.9316607880393817,0.474083,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Headshaking,58,3491,3493,109,30.0,5f8f5507d3d64947e0da2323,3491,-6.179539660701116,-1.51663,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Headshaking,86,5342,5346,109,30.0,5f8f5507d3d64947e0da2323,5344,131.53610771945029,32.2826,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Headshaking,86,5342,5346,109,30.0,5f8f5507d3d64947e0da2323,5345,-52.19175235609135,-12.8093,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Headshaking,88,5356,5366,109,30.0,5f8f5507d3d64947e0da2323,5365,-14.93739499621749,-3.66605,macho,flx2.5mg,A1,5f8f5507d3d64947e0da2325
Immobility,39,2034,2054,105,30.0,5f8f550bd3d64947e0da2353,2034,-12.830473800885306,-3.0,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Immobility,87,5408,5604,105,30.0,5f8f550bd3d64947e0da2353,5599,-22.610801833332147,-5.28682,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Immobility,89,5613,5644,105,30.0,5f8f550bd3d64947e0da2353,5614,-0.5530062512919574,-0.129303,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Immobility,94,5888,5906,105,30.0,5f8f550bd3d64947e0da2353,5891,1.6213655900948742,0.379105,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Immobility,109,6379,6394,105,30.0,5f8f550bd3d64947e0da2353,6387,-0.3984071679580301,-0.0931549,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Swimming,67,4185,4200,105,30.0,5f8f550bd3d64947e0da2353,4199,-125.00174637004513,-29.2277,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Swimming,82,5199,5219,105,30.0,5f8f550bd3d64947e0da2353,5200,-5.955136109942903,-1.39242,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Swimming,102,6139,6149,105,30.0,5f8f550bd3d64947e0da2353,6146,4.276824600295101,1.0,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Swimming,104,6165,6177,105,30.0,5f8f550bd3d64947e0da2353,6170,-24.26148505606205,-5.67278,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Swimming,104,6165,6177,105,30.0,5f8f550bd3d64947e0da2353,6174,6.033658609604322,1.41078,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Climbing,10,374,528,105,30.0,5f8f550bd3d64947e0da2353,445,6.733945869656643,1.5745200000000001,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Climbing,29,1249,1292,105,30.0,5f8f550bd3d64947e0da2353,1269,-116.61018882180609,-27.2656,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Climbing,38,1982,2034,105,30.0,5f8f550bd3d64947e0da2353,2016,47.830295599860285,11.1836,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Climbing,72,4414,4427,105,30.0,5f8f550bd3d64947e0da2353,4426,66.86130970625342,15.6334,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Climbing,113,6732,6776,105,30.0,5f8f550bd3d64947e0da2353,6743,2.1740938477878125,0.508343,macho,flx2.5mg,A4,5f8f550bd3d64947e0da2355
Immobility,48,1822,1844,117,30.0,5f8f5513d3d64947e0da23e3,1836,-2.082519286661177,-0.525219,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Immobility,127,4595,4645,117,30.0,5f8f5513d3d64947e0da23e3,4626,-5.015430650624959,-1.26491,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Immobility,133,4763,4862,117,30.0,5f8f5513d3d64947e0da23e3,4805,5.788734237276487,1.45994,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Immobility,139,4967,5009,117,30.0,5f8f5513d3d64947e0da23e3,4981,-3.2466974442613177,-0.818829,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Immobility,162,6069,6111,117,30.0,5f8f5513d3d64947e0da23e3,6072,-2.8270524747855896,-0.712993,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Swimming,1,138,153,117,30.0,5f8f5513d3d64947e0da23e3,147,91.12238653680687,22.9814,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Swimming,6,226,238,117,30.0,5f8f5513d3d64947e0da23e3,228,3.1720355638498523,0.799999,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Swimming,128,4645,4657,117,30.0,5f8f5513d3d64947e0da23e3,4647,1.2627334257630412,0.31846599999999997,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Swimming,159,5912,5941,117,30.0,5f8f5513d3d64947e0da23e3,5922,-9.421790061207147,-2.37621,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Swimming,179,6784,6793,117,30.0,5f8f5513d3d64947e0da23e3,6789,-0.3387575649838556,-0.0854359,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Climbing,28,899,913,117,30.0,5f8f5513d3d64947e0da23e3,909,-11.579530300246756,-2.9204,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Climbing,41,1368,1426,117,30.0,5f8f5513d3d64947e0da23e3,1404,10.139622606597051,2.55725,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Climbing,52,1925,1994,117,30.0,5f8f5513d3d64947e0da23e3,1950,3.310752817498027,0.8349840000000001,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Climbing,52,1925,1994,117,30.0,5f8f5513d3d64947e0da23e3,1965,-13.53041391150803,-3.4124199999999996,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Climbing,52,1925,1994,117,30.0,5f8f5513d3d64947e0da23e3,1973,46.86410850489882,11.8193,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Headshaking,24,808,814,117,30.0,5f8f5513d3d64947e0da23e3,809,-8.700864777276566,-2.1943900000000003,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Headshaking,24,808,814,117,30.0,5f8f5513d3d64947e0da23e3,812,-7.397830589298859,-1.8657599999999999,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Headshaking,24,808,814,117,30.0,5f8f5513d3d64947e0da23e3,813,2.256279647004868,0.569042,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Headshaking,165,6124,6126,117,30.0,5f8f5513d3d64947e0da23e3,6125,-107.68201889742552,-27.1578,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Headshaking,171,6559,6560,117,30.0,5f8f5513d3d64947e0da23e3,6559,0.603361568890751,0.15217,macho,veiculo,A5,5f8f5513d3d64947e0da23e5
Immobility,43,2799,2824,99,30.0,5f8f5512d3d64947e0da23d3,2813,3.202438613600493,0.7859189999999999,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Immobility,55,3319,3348,99,30.0,5f8f5512d3d64947e0da23d3,3328,-4.663736454787718,-1.14454,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Immobility,108,5867,5997,99,30.0,5f8f5512d3d64947e0da23d3,5900,-2.881269372132381,-0.7071,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Immobility,112,6017,6195,99,30.0,5f8f5512d3d64947e0da23d3,6138,-4.019323914277718,-0.9863930000000001,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Immobility,114,6218,6294,99,30.0,5f8f5512d3d64947e0da23d3,6251,-0.6644848540825113,-0.163073,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Swimming,76,3963,3982,99,30.0,5f8f5512d3d64947e0da23d3,3971,21.014522477785718,5.15723,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Swimming,93,5344,5350,99,30.0,5f8f5512d3d64947e0da23d3,5349,-12.416637011401207,-3.0472,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Swimming,115,6294,6307,99,30.0,5f8f5512d3d64947e0da23d3,6299,0.4183524892765655,0.10266900000000001,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Swimming,132,7021,7030,99,30.0,5f8f5512d3d64947e0da23d3,7025,-1.9217386225649855,-0.47161899999999995,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Swimming,145,7349,7370,99,30.0,5f8f5512d3d64947e0da23d3,7349,-31.000029881641535,-7.6078,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Climbing,28,1707,1835,99,30.0,5f8f5512d3d64947e0da23d3,1734,35.732303956057685,8.769160000000001,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Climbing,28,1707,1835,99,30.0,5f8f5512d3d64947e0da23d3,1760,4.0046995672595,0.9828040000000001,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Climbing,42,2623,2799,99,30.0,5f8f5512d3d64947e0da23d3,2727,4.551476560568728,1.11699,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Climbing,47,2906,2965,99,30.0,5f8f5512d3d64947e0da23d3,2921,0.6378806853218659,0.15654400000000002,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Climbing,139,7141,7168,99,30.0,5f8f5512d3d64947e0da23d3,7151,3.552942119260348,0.8719370000000001,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Headshaking,52,3254,3258,99,30.0,5f8f5512d3d64947e0da23d3,3254,3.3117931973084795,0.812756,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
Headshaking,54,3317,3319,99,30.0,5f8f5512d3d64947e0da23d3,3317,17.722923837128754,4.34943,macho,veiculo,A3,5f8f5512d3d64947e0da23d5
